cell_id	quantity	value	source
c0038	posthoc_alto__soprano_diff	-8.740701015662026	praat
c0038	posthoc_alto__soprano_q	8.293715310905158	praat
c0038	posthoc_alto__soprano_cohens_d	-2.0839749765563775	praat
c0038	posthoc_alto__soprano_ci_low	-12.361696027222866	praat
c0038	posthoc_alto__soprano_ci_high	-5.119706004101186	praat
c0038	posthoc_mezzo__soprano_padj	0.0005832285208634547	praat
c0038	posthoc_mezzo__soprano_diff	-6.06695930108711	praat
c0038	posthoc_mezzo__soprano_q	5.756704543022689	praat
c0038	posthoc_mezzo__soprano_cohens_d	-1.7838798367260675	praat
c0038	posthoc_mezzo__soprano_ci_low	-9.68795431264795	praat
c0038	posthoc_mezzo__soprano_ci_high	-2.4459642895262697	praat
c0039	f	3.5048768688621763	praat
c0039	df_between	2	praat
c0039	df_within	42	praat
c0039	p	0.03911129286189213	praat
c0039	eta_squared	0.14302772821991808	praat
c0039	n	45	praat
c0039	ss_between	3.1544807056635245	praat
c0039	ss_within	18.90054837802034	praat
c0039	ss_total	22.055029083683863	praat
c0039	ms_between	1.5772403528317622	praat
c0039	ms_within	0.4500130566195319	praat
c0039	posthoc_soprano__mezzo_cohens_d	0.266496933006928	praat
c0039	posthoc_soprano__alto_cohens_d	1.1593536170403687	praat
c0039	posthoc_mezzo__alto_cohens_d	0.6333530468010096	praat
c0040	f	3.5048768688621763	praat
c0040	df_between	2	praat
c0040	df_within	42	praat
c0040	p	0.03911129286189213	praat
c0040	eta_squared	0.14302772821991808	praat
c0040	n	45	praat
c0040	ss_between	3.1544807056635245	praat
c0040	ss_within	18.90054837802034	praat
c0040	ss_total	22.055029083683863	praat
c0040	ms_between	1.5772403528317622	praat
c0040	ms_within	0.4500130566195319	praat
c0040	posthoc_alto__mezzo_cohens_d	-0.6333530468010096	praat
c0040	posthoc_alto__soprano_cohens_d	-1.1593536170403687	praat
c0040	posthoc_mezzo__soprano_cohens_d	-0.266496933006928	praat
c0041	f	3.5048768688621763	praat
c0041	df_between	2	praat
c0041	df_within	42	praat
c0041	p	0.03911129286189213	praat
c0041	eta_squared	0.14302772821991808	praat
c0041	n	45	praat
c0041	ss_between	3.1544807056635245	praat
c0041	ss_within	18.90054837802034	praat
c0041	ss_total	22.055029083683863	praat
c0041	ms_between	1.5772403528317622	praat
c0041	ms_within	0.4500130566195319	praat
c0041	posthoc_soprano__mezzo_padj	0.6846336598599503	praat
c0041	posthoc_soprano__mezzo_diff	0.20413117157659855	praat
c0041	posthoc_soprano__mezzo_q	1.1785347712990972	praat
c0041	posthoc_soprano__mezzo_cohens_d	0.266496933006928	praat
c0041	posthoc_soprano__mezzo_ci_low	-0.3909794655118026	praat
c0041	posthoc_soprano__mezzo_ci_high	0.7992418086649997	praat
c0041	posthoc_soprano__alto_padj	0.03414776472075598	praat
c0041	posthoc_soprano__alto_diff	0.6351658757520413	praat
c0041	posthoc_soprano__alto_q	3.667078694228382	praat
c0041	posthoc_soprano__alto_cohens_d	1.1593536170403687	praat
c0041	posthoc_soprano__alto_ci_low	0.040055238663640136	praat
c0041	posthoc_soprano__alto_ci_high	1.2302765128404425	praat
c0041	posthoc_mezzo__alto_padj	0.19559982053316205	praat
c0041	posthoc_mezzo__alto_diff	0.43103470417544276	praat
c0041	posthoc_mezzo__alto_q	2.4885439229292845	praat
c0041	posthoc_mezzo__alto_cohens_d	0.6333530468010096	praat
c0041	posthoc_mezzo__alto_ci_low	-0.1640759329129584	praat
c0041	posthoc_mezzo__alto_ci_high	1.026145341263844	praat
c0042	f	3.5048768688621763	praat
c0042	df_between	2	praat
c0042	df_within	42	praat
c0042	p	0.03911129286189213	praat
c0042	eta_squared	0.14302772821991808	praat
c0042	n	45	praat
c0042	ss_between	3.1544807056635245	praat
c0042	ss_within	18.90054837802034	praat
c0042	ss_total	22.055029083683863	praat
c0042	ms_between	1.5772403528317622	praat
c0042	ms_within	0.4500130566195319	praat
c0042	posthoc_alto__mezzo_padj	0.19559982053316205	praat
c0042	posthoc_alto__mezzo_diff	-0.43103470417544276	praat
c0042	posthoc_alto__mezzo_q	2.4885439229292845	praat
c0042	posthoc_alto__mezzo_cohens_d	-0.6333530468010096	praat
c0042	posthoc_alto__mezzo_ci_low	-1.026145341263844	praat
c0042	posthoc_alto__mezzo_ci_high	0.1640759329129584	praat
c0042	posthoc_alto__soprano_padj	0.03414776472075598	praat
c0042	posthoc_alto__soprano_diff	-0.6351658757520413	praat
c0042	posthoc_alto__soprano_q	3.667078694228382	praat
c0042	posthoc_alto__soprano_cohens_d	-1.1593536170403687	praat
c0042	posthoc_alto__soprano_ci_low	-1.2302765128404425	praat
c0042	posthoc_alto__soprano_ci_high	-0.040055238663640136	praat
c0042	posthoc_mezzo__soprano_padj	0.6846336598599503	praat
